kind,source_path,archive_path,lines,chars,sha256,headings
agents,langchain/ai-agent-langgraph/AGENTS.md,corpus/agents/langchain/ai-agent-langgraph/AGENTS.md,33,1223,e235261bbf1d607f2e742f91842ca4f39c5662357f02c2a05680edbaffcccf48,# AI Agent LangGraph Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,law-agent/AGENTS.md,corpus/agents/law-agent/AGENTS.md,27,1097,04c6b1bd6890d6dae53baa81de4bd9084cf217e9580297356e63d1ba23ba29b4,# Law Agent Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Deployment Notes
agents,leetcode/AGENTS.md,corpus/agents/leetcode/AGENTS.md,18,1187,38b17ebe2868480048d86ea55344bea126223c11bfff0ad1fb9f126502e17730,# Repository Notes | ## Working Rules | ## Checks
agents,Life/AGENTS.md,corpus/agents/Life/AGENTS.md,6,268,384fa500a8f6c67fcdb7ebd0b8034a8ee62ddb902f6f7797c5240dc598712a6d,# Repository Guidelines
agents,Lifecat/AGENTS.md,corpus/agents/Lifecat/AGENTS.md,30,1430,5811fb5bf50ae35453c12e9fe1c28b7a91739deb35c6b9b178f11b798119d48d,# Lifecat Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,maichong/AGENTS.md,corpus/agents/maichong/AGENTS.md,56,3200,fc568f591b1dc8e9151991ead4cff45df9991cafc829c324dfd264fa9a213780,"# Repository Guidelines | ## Project Structure & Module Organization | ## Build, Test, and Development Commands | ## Coding Style & Naming Conventions | ## Testing Guidelines"
agents,mcp-3d-gen/AGENTS.md,corpus/agents/mcp-3d-gen/AGENTS.md,6,268,07324a2b9a85a0ad9f5e27536b763693b709038a62d5ad27cb86736752484890,# Repository Guidelines
agents,mcp-content-styles/AGENTS.md,corpus/agents/mcp-content-styles/AGENTS.md,6,241,4aef485e8225e431dcb7771ffc778e4844bbbe9e8148eeb488bf7fc5be9f078f,# Repository Guidelines
agents,mcp-ecosystem/AGENTS.md,corpus/agents/mcp-ecosystem/AGENTS.md,6,232,03a262568d8f1a149621e9850cad9101bca833fb81c7d7047dcffdf931817739,# Repository Guidelines
agents,mcp-ffmpeg/AGENTS.md,corpus/agents/mcp-ffmpeg/AGENTS.md,6,241,b0a7b7fda6a517e38833b569459caf99752d4f8592dfea32d5bede6ceb05d8b8,# Repository Guidelines
agents,mcp-http-proxy/AGENTS.md,corpus/agents/mcp-http-proxy/AGENTS.md,32,1095,e5037de1a0213efce4ac04975968f90e96ff57fc31f9709b45c3820f060f813a,# MCP HTTP Proxy Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,minimind/AGENTS.md,corpus/agents/minimind/AGENTS.md,22,1298,e6a7b8a5a336aa153e793b9812b93ac97baaa4c527bbf37e6f3def4666a2c25e,# Repository Notes | ## Working Rules | ## Relevant Commands
agents,minimind/website/AGENTS.md,corpus/agents/minimind/website/AGENTS.md,5,325,e3447d84251880fb34cfae09131cb4c57471529bbfe60976a3245793cf621627,# This is NOT the Next.js you know
agents,money-agent/AGENTS.md,corpus/agents/money-agent/AGENTS.md,49,2023,102770c6a97199ba05f8af01c62b79101da7aa1575b57c8b54c3f9d248ca0a5a,# Repository Guidelines | ## Project Structure | ## Commands | ## Environment | ## Deployment
agents,name-agent/AGENTS.md,corpus/agents/name-agent/AGENTS.md,30,1138,96894c9fa76f6681edf03d3409b43d6214ebd0eb0c18f0b9fa80b6e54917921c,# Name Agent Working Guide | ## Local Rules | ## Commands | ## Deployment
agents,open-octopus/.github/AGENTS.md,corpus/agents/open-octopus/_dot_github/AGENTS.md,7,293,873200171376f6287bc1209fda3b8f3d852de1f6e9e72ff04ca79a89ccb5c6b8,# Repository Guidelines
agents,open-octopus/casa/AGENTS.md,corpus/agents/open-octopus/casa/AGENTS.md,6,250,a2b6139bb3ae20c697d69d3850bec96e3874aa1f0b91fe0f146f9da404e5b96a,# Repository Guidelines
agents,open-octopus/community/AGENTS.md,corpus/agents/open-octopus/community/AGENTS.md,7,295,aa65be92509a39d119c432357a3eb1123a56c446134065a44593497b06d97f52,# Repository Guidelines
agents,open-octopus/coral/AGENTS.md,corpus/agents/open-octopus/coral/AGENTS.md,6,243,5b2f289729d3e673976011baf503826cf8abc15f8be07044d84b730735e7daf9,# Repository Guidelines
agents,open-octopus/homebrew-tap/AGENTS.md,corpus/agents/open-octopus/homebrew-tap/AGENTS.md,7,294,fc6715d20ec5d49e63d8ceebe54bd19b20bbc8f6e66332fa76716bb842e37ae8,# Repository Guidelines
